,Id,Versus,Ground,D/N,Runs,B/F,S/R,Bowler,Year,hasBatted
0,1,Kolkata Knight Riders ,Eden Gardens ,✓,0,3,0,M Kartik ,2008,Yes
1,2,Delhi Capitals ,Rajiv Gandhi International Stadium ,✓,66,36,183.33,R Bhatia ,2008,Yes
2,3,Rajasthan Royals ,Rajiv Gandhi International Stadium ,✓,36,30,120,S K Warne ,2008,Yes
3,4,Mumbai Indians ,Dr DY Patil Sports Academy ,✓,-,-,-,,2008,No
4,5,Punjab Kings ,Rajiv Gandhi International Stadium ,✓,76*,42,180.95,,2008,Yes
5,6,Royal Challengers Bangalore ,M Chinnaswamy Stadium ,✓,57,42,135.71,J H Kallis ,2008,Yes
6,7,Chennai Super Kings ,MA Chidambaram Stadium ,✓,23,17,135.29,M Muralitharan ,2008,Yes
7,8,Rajasthan Royals ,Sawai Mansingh Stadium ,✓,5,8,62.5,,2008,Yes
8,9,Kolkata Knight Riders ,Rajiv Gandhi International Stadium ,✓,33,24,137.5,A B Dinda ,2008,Yes
9,10,Delhi Capitals ,Arun Jaitley Stadium ,✓,35,18,194.44,M F Maharoof ,2008,Yes
10,11,Mumbai Indians ,Rajiv Gandhi International Stadium ,✓,6,10,60,C R D Fernando ,2008,Yes
11,12,Punjab Kings ,Punjab Cricket Association IS Bindra Stadium ,✓,50,27,185.19,V R Singh ,2008,Yes
12,13,Royal Challengers Bangalore ,Rajiv Gandhi International Stadium ,✓,17,16,106.25,R Vinay Kumar ,2008,Yes
13,14,Kolkata Knight Riders ,Newlands ,✓,36*,32,112.5,,2009,Yes
14,15,Royal Challengers Bangalore ,Newlands ,✓,52,30,173.33,D W Steyn ,2009,Yes
15,16,Mumbai Indians ,Kingsmead ,,3,5,60,D J Bravo ,2009,Yes
16,17,Chennai Super Kings ,Kingsmead ,,18,19,94.74,L Balaji ,2009,Yes
17,18,Delhi Capitals ,SuperSport Park ,,17,20,85,A Mishra ,2009,Yes
18,19,Rajasthan Royals ,St George's Park ,,38,32,118.75,S K Trivedi ,2009,Yes
19,20,Chennai Super Kings ,Buffalo Park ,✓,21,20,105,S B Jakati ,2009,Yes
20,21,Mumbai Indians ,SuperSport Park ,✓,38,36,105.56,S L Malinga ,2009,Yes
21,22,Punjab Kings ,Diamond Oval ,,9,15,60,B Lee ,2009,Yes
22,23,Rajasthan Royals ,Diamond Oval ,✓,9,14,64.29,R A Jadeja ,2009,Yes
