,Id,Versus,Ground,D/N,Runs,B/F,S/R,Bowler,Year,hasBatted
0,1,Ireland,Civil Service Cricket Club,,-,-,-,,2007,No
1,2,South Africa,Civil Service Cricket Club,,8,9,88.89,J H Kallis,2007,Yes
2,3,Australia,Rajiv Gandhi International Stadium,,1,4,25.00,J R Hopes,2007,Yes
3,4,Pakistan,Sawai Mansingh Stadium,✓,52,61,85.25,Shoaib Malik,2007,Yes
4,5,Australia,Brisbane Cricket Ground,✓,29,43,67.44,B Lee,2008,Yes
5,6,Sri Lanka,Brisbane Cricket Ground,✓,0,2,0.00,M Muralitharan,2008,Yes
6,7,Australia,Melbourne Cricket Ground,✓,39*,61,63.93,,2008,Yes
7,8,Sri Lanka,Manuka Oval,,70*,64,109.38,,2008,Yes
8,9,Australia,Adelaide Oval,✓,1,3,33.33,J R Hopes,2008,Yes
9,10,Sri Lanka,Adelaide Oval,✓,24,36,66.67,M Muralitharan,2008,Yes
10,11,Australia,Sydney Cricket Ground,✓,1,3,33.33,N W Bracken,2008,Yes
11,12,Sri Lanka,Bellerive Oval,,3*,7,42.86,,2008,Yes
12,13,Australia,Sydney Cricket Ground,✓,66,87,75.86,J R Hopes,2008,Yes
13,14,Australia,Brisbane Cricket Ground,✓,2,5,40.00,M J Clarke,2008,Yes
14,15,Pakistan,Shere Bangla National Stadium,✓,9,27,33.33,Shahid Afridi,2008,Yes
15,16,Bangladesh,Shere Bangla National Stadium,✓,26,43,60.47,Abdur Razzak,2008,Yes
16,17,Pakistan,Shere Bangla National Stadium,✓,24,27,88.89,b Umar Gul,2008,Yes
17,18,Hong Kong,National Stadium (Karachi),✓,11,29,37.93,,2008,Yes
18,19,Pakistan,National Stadium (Karachi),✓,0*,1,0.00,,2008,Yes
19,20,Bangladesh,National Stadium (Karachi),✓,22,23,95.65,Shahadat Hossain,2008,Yes
20,21,Pakistan,National Stadium (Karachi),✓,58,71,81.69,Iftikhar Anjum,2008,Yes
21,22,Sri Lanka,National Stadium (Karachi),✓,22*,28,78.57,,2008,Yes
22,23,Sri Lanka,National Stadium (Karachi),✓,3,8,37.50,B A W Mendis,2008,Yes
23,24,Sri Lanka,Rangiri Dambulla International Stadium,,19,31,61.29,T Thushara,2008,Yes
24,25,Sri Lanka,Rangiri Dambulla International Stadium,,0,2,0.00,T Thushara,2008,Yes
25,26,Sri Lanka,R Premadasa Stadium,✓,32,32,100.00,T Thushara,2008,Yes
26,27,Sri Lanka,R Premadasa Stadium,✓,18,23,78.26,B A W Mendis,2008,Yes
27,28,Sri Lanka,R Premadasa Stadium,✓,3,5,60.00,K M D N Kulasekara,2008,Yes
28,29,England,Madhavrao Scindia Cricket Ground,,11*,8,137.50,,2008,Yes
29,30,England,Holkar Cricket Stadium,,3,13,23.08,S C J Broad,2008,Yes
30,31,England,Green Park,,28,41,68.29,G P Swann,2008,Yes
31,32,England,Barabati Stadium,✓,8*,10,80.00,,2008,Yes
32,33,Sri Lanka,Rangiri Dambulla International Stadium,,25*,30,83.33,,2009,Yes
33,34,Sri Lanka,R Premadasa Stadium,✓,4*,6,66.67,,2009,Yes
34,35,Sri Lanka,R Premadasa Stadium,✓,15,22,68.18,M F Maharoof,2009,Yes
35,36,New Zealand,Seddon Park,✓,-,-,-,,2009,No
36,37,New Zealand,Eden Park,✓,43*,74,58.11,,2009,Yes
37,38,West Indies,Sabina Park,,4,12,33.33,L S Baker,2009,Yes
38,39,West Indies,Sabina Park,,0,2,0.00,R Rampaul,2009,Yes
39,40,West Indies,Daren Sammy National Cricket Stadium,,11,9,122.22,D J Bravo,2009,Yes
40,41,West Indies,Daren Sammy National Cricket Stadium,,-,-,-,,2009,No
41,42,South Africa,Narendra Modi Stadium,✓,48,61,78.69,J Botha,2010,Yes
42,43,Zimbabwe,Queens Sports Club,,114,119,95.80,C B Mpofu,2010,Yes
43,44,Sri Lanka,Queens Sports Club,,101*,100,101.00,,2010,Yes
44,45,Zimbabwe,Harare Sports Club,,13,25,52.00,,2010,Yes
