,Id,Versus,Ground,D/N,Runs,B/F,S/R,Bowler,Year,hasBatted
0,1,England,Kingsmead,✓,-,-,-,,2007,No
1,2,South Africa,Kingsmead,✓,50*,40,125,,2007,Yes
2,3,Australia,Kingsmead,✓,8*,5,160,,2007,Yes
3,4,Pakistan,Wanderers Stadium,,30*,16,187.5,,2007,Yes
4,5,Australia,Brabourne Stadium,✓,-,-,-,,2007,No
5,6,Australia,Melbourne Cricket Ground,✓,8,8,100,J R Hopes,2008,Yes
6,7,Sri Lanka,R Premadasa Stadium,✓,4,11,36.36,S T Jayasuriya,2009,Yes
7,8,New Zealand,AMI Stadium,✓,7,7,100,I G Butler,2009,Yes
8,9,Bangladesh,Trent Bridge,✓,36,23,156.52,Shakib Al Hasan,2009,Yes
9,10,Ireland,Trent Bridge,✓,52*,45,115.56,,2009,Yes
10,11,West Indies,Lord's,✓,5,3,166.67,F H Edwards,2009,Yes
11,12,England,Lord's,✓,9,8,112.5,R J Sidebottom,2009,Yes
12,13,South Africa,Trent Bridge,✓,29,28,103.57,J-P Duminy,2009,Yes
13,14,Sri Lanka,Vidarbha Cricket Association Stadium,✓,3,4,75,,2009,Yes
14,15,Australia,Kensington Oval,,79*,46,171.74,,2010,Yes
15,16,West Indies,Kensington Oval,,5,8,62.5,K A Pollard,2010,Yes
16,17,Sri Lanka,Daren Sammy National Cricket Stadium,,-,-,-,,2010,No
17,18,Zimbabwe,Harare Sports Club,,10,15,66.67,R W Price,2010,Yes
18,19,Zimbabwe,Harare Sports Club,,0*,1,0,,2010,Yes
19,20,South Africa,Moses Mabhida Stadium,,53,34,155.88,J-P Duminy,2011,Yes
20,21,West Indies,Queen's Park Oval,,26,23,113.04,C D Barnwell,2011,Yes
21,22,England,Old Trafford,✓,1,3,33.33,G P Swann,2011,Yes
22,23,Australia,ANZ Stadium,✓,0,1,0,D J Hussey,2012,Yes
23,24,Australia,Melbourne Cricket Ground,✓,-,-,-,,2012,No
24,25,South Africa,Wanderers Stadium,✓,-,-,-,,2012,No
25,26,Sri Lanka,Pallekele International Cricket Stadium,,-,-,-,,2012,No
26,27,New Zealand,MA Chidambaram Stadium,✓,4*,2,200,,2012,Yes
27,28,Afghanistan,R Premadasa Stadium,✓,1*,1,100,,2012,Yes
28,29,England,R Premadasa Stadium,✓,55*,33,166.67,,2012,Yes
29,30,Australia,R Premadasa Stadium,✓,1,2,50,M A Starc,2012,Yes
30,31,Pakistan,R Premadasa Stadium,✓,-,-,-,,2012,No
31,32,South Africa,R Premadasa Stadium,✓,25,27,92.59,R J Peterson,2012,Yes
32,33,England,Wankhede Stadium,✓,24,19,126.32,J C Tredwell,2012,Yes
33,34,Pakistan,M Chinnaswamy Stadium,✓,2,2,100,,2012,Yes
34,35,Pakistan,Narendra Modi Stadium,✓,4*,2,200,,2012,Yes
35,36,Australia,Saurashtra Cricket Association Stadium,✓,8,8,100,C J McKay,2013,Yes
36,37,Pakistan,Shere Bangla National Stadium,✓,24,21,114.29,Saeed Ajmal,2014,Yes
37,38,West Indies,Shere Bangla National Stadium,✓,62*,55,112.73,,2014,Yes
38,39,Bangladesh,Shere Bangla National Stadium,✓,56,44,127.27,Mashrafe Mortaza,2014,Yes
39,40,Australia,Shere Bangla National Stadium,✓,5,3,166.67,B J Hodge,2014,Yes
40,41,South Africa,Shere Bangla National Stadium,✓,24,13,184.62,B E Hendricks,2014,Yes
41,42,Sri Lanka,Shere Bangla National Stadium,✓,29,26,111.54,H M R K B Herath,2014,Yes
